ecoregion,scientific_name,common_name,class,conservation_status,habitat_type,image_url,attribution,description,species_id
Amazon and Guianas,Pithecopus centralis,species of frog in the subfamily Phyllomedusinae,AMPHIBIA,VU,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/79/Parque_Estadual_Carlos_Botelho_Giordano_Rossi_%2805%29.jpg,Wikimedia Commons,Pithecopus centralis is a species of frog in the subfamily Phyllomedusinae.,d0867502-9999-43b7-afc7-780e0e9ab6dc
Amazon and Guianas,Pristimantis xeniolum,species of frog in the family Strabomantidae,AMPHIBIA,VU,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,Pristimantis xeniolum is a species of frog in the family Strabomantidae.,6c02dc20-7651-43b2-a4c8-f41621a19e7a
Amazon and Guianas,Oreophrynella vasquezi,species of toad in the family Bufonidae,AMPHIBIA,VU,Freshwater,https://upload.wikimedia.org/wikipedia/commons/5/5b/Bufo_periglenes2.jpg,Wikimedia Commons,Oreophrynella vasquezi is a species of toad in the family Bufonidae.,683787d4-9722-49d8-a7c4-d6953384f753
Amazon and Guianas,Gastrotheca riobambae,,AMPHIBIA,VU,Freshwater,https://upload.wikimedia.org/wikipedia/commons/1/12/Hemiphractidae_-_Gastrotheca_riobambae.JPG,Wikimedia Commons,"The Andean marsupial tree frog, also known as the Riobamba marsupial frog or Riobamba pouched frog, is a species of frog in the family Hemiphractidae. It is endemic to Ecuador. The species is confined to the Andes and the inter-Andean valleys, from Imbabura south to Chimborazo. They live in an altitude of 2,200–3,500 meters (7,200–11,500 ft) above sea-level. The Andean marsupial tree frog's habitat varies from the montane forests to the dry rocky hillsides, and from the agave plants to the corn fields. Once a common species, it is threatened by severe habitat loss.",f051bffe-d544-47c4-a580-36851851501b
Amazon and Guianas,Pristimantis schultei,,AMPHIBIA,VU,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/2/2c/Phylogenetic_tree_Pristimantis_pluvialis.jpg,Wikimedia Commons,"Pristimantis schultei is a species of frog in the family Strabomantidae.
It is found in Ecuador and Peru.
Its natural habitats are tropical moist montane forests and heavily degraded former forest.
It is threatened by habitat loss.",46cd6104-d5b2-4fe7-9b01-9105979a8fff
Amazon and Guianas,Pristimantis pedimontanus,,AMPHIBIA,VU,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,Pristimantis pedimontanus is a species of frogs in the family Strabomantidae.,0cc9e345-a1aa-4fbe-a315-98f472f3a149
Amazon and Guianas,Pithecopus centralis,species of frog in the subfamily Phyllomedusinae,AMPHIBIA,VU,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/79/Parque_Estadual_Carlos_Botelho_Giordano_Rossi_%2805%29.jpg,Wikimedia Commons,Pithecopus centralis is a species of frog in the subfamily Phyllomedusinae.,11c2c41a-a666-41e1-b4d0-93875eb23fb7
Amazon and Guianas,Pithecopus centralis,species of frog in the subfamily Phyllomedusinae,AMPHIBIA,VU,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/79/Parque_Estadual_Carlos_Botelho_Giordano_Rossi_%2805%29.jpg,Wikimedia Commons,Pithecopus centralis is a species of frog in the subfamily Phyllomedusinae.,327aa280-d1d1-4f0d-8d89-5b1c0847e31b
Amazon and Guianas,Pristimantis merostictus,,AMPHIBIA,VU,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,Pristimantis merostictus is a species of frog in the family Strabomantidae.,bd184fbf-0ae9-49e4-839b-6ccb72cd0dec
Amazon and Guianas,Rhinella macrorhina,,AMPHIBIA,VU,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/0/07/Rhinella_macrorhina.jpg,Wikimedia Commons,"Rhinella macrorhina is a species of toad in the family Bufonidae.
It is endemic to Colombia.
Its natural habitat is subtropical or tropical moist montane forests.
It is threatened by habitat loss.",90e1b26f-a2b8-461f-97ce-d8167563514a
Amazon and Guianas,Rhinella macrorhina,,AMPHIBIA,VU,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/0/07/Rhinella_macrorhina.jpg,Wikimedia Commons,"Rhinella macrorhina is a species of toad in the family Bufonidae.
It is endemic to Colombia.
Its natural habitat is subtropical or tropical moist montane forests.
It is threatened by habitat loss.",8dc584bd-0be0-4cbd-8c49-beab073e4bb4
Amazon and Guianas,Pristimantis anolirex,,AMPHIBIA,VU,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/7/76/Pristimantis_anolirex.jpg,Wikimedia Commons,"Pristimantis anolirex is a species of frog in the family Strabomantidae.
It is found in Colombia and Venezuela.
Its natural habitats are tropical moist montane forests, high-altitude shrubland, and high-altitude grassland.
It is threatened by habitat loss.",f47406c6-d5e3-492b-aa15-3abc664802d0
Amazon and Guianas,Pristimantis exoristus,,AMPHIBIA,VU,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,Pristimantis exoristus is a species of frog in the family Strabomantidae.,be655261-3c8e-43aa-9f1e-2224961710b9
Amazon and Guianas,Telmatobius hintoni,,AMPHIBIA,VU,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/74/Font_Awesome_5_solid_frog.svg,Wikimedia Commons,Telmatobius hintoni is a species of frog in the family Telmatobiidae.,de0c77e4-ca93-4df0-b6cd-38c12783362f
Amazon and Guianas,Rhinella quechua,,AMPHIBIA,VU,Freshwater,https://upload.wikimedia.org/wikipedia/commons/5/5b/Bufo_periglenes2.jpg,Wikimedia Commons,Rhinella quechua is a species of toad in the family Bufonidae.,da81f0df-9b20-4d8a-8532-ded56aeb69b4
Amazon and Guianas,Pristimantis duende,,AMPHIBIA,VU,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,Pristimantis duende is a species of frog in the family Strabomantidae.,ba70a30b-9c19-4092-8ac4-8224d78761a0
